stationName	subwayLine	location	latitude	longitude
가능역	1호선		37.748577	127.044213
가락시장역	3호선, 8호선		37.492245	127.117757
가산디지털단지역	1호선, 7호선		37.481581	126.882581
가양역	9호선		37.561391	126.854456
간석역	1호선		37.464737	126.694181
강남역	2호선		37.49799	127.027912
강남구청역	7호선		37.517179	127.041255
강동역	5호선		37.535804	127.132481
강동구청역	8호선		37.530341	127.120508
강변역	2호선		37.535095	127.094681
강일역	5호선		37.55749	127.17593
개롱역	5호선		37.498079	127.13482
개봉역	1호선		37.494594	126.85968
개화역	9호선		37.578608	126.798153
개화산역	5호선		37.572399	126.806171
거여역	5호선		37.493105	127.14415
건대입구역	2호선, 7호선		37.540373	127.069191
경마공원역	4호선		37.443885	127.007888
경복궁역	3호선		37.575762	126.97353
경찰병원역	3호선		37.495918	127.12454
고덕역	5호선		37.555004	127.154151
고려대역	6호선		37.590508	127.036296
고속터미널역	3호선, 7호선, 9호선		37.504891	127.004916
고잔역	4호선		37.316784	126.823144
공덕역	5호선, 6호선		37.544431	126.951372
공릉역	7호선		37.625742	127.072896
공항시장역	9호선		37.563726	126.810678
과천역	4호선		37.433021	126.996568
관악역	1호선		37.419232	126.908706
광나루역	5호선		37.545303	127.10357
광명역	1호선		37.416182	126.884466
광명사거리역	7호선		37.479252	126.854876
광운대역	1호선		37.623632	127.061835
광화문역	5호선		37.571525	126.97717
광흥창역	6호선		37.547456	126.931993
교대역	2호선, 3호선		37.493961	127.014667
구로역	1호선		37.503039	126.881966
구로디지털단지역	2호선		37.485266	126.901401
구리역	8호선		37.60262	127.1407
구반포역	9호선		37.501364	126.987332
구산역	6호선		37.611377	126.91727
구의역	2호선		37.537077	127.085916
구일역	1호선		37.496756	126.870793
구파발역	3호선		37.636763	126.918821
국회의사당역	9호선		37.528105	126.917874
군자역	5호선, 7호선		37.557088	127.079577
군포역	1호선		37.35356	126.948462
굴포천역	7호선		37.506997	126.73128
굽은다리역	5호선		37.545477	127.142853
금정역	1호선, 4호선		37.372221	126.943429
금천구청역	1호선		37.455626	126.89398
금호역	3호선		37.548034	127.015872
길동역	5호선		37.537801	127.140004
길음역	4호선		37.603407	127.025053
김포공항역	5호선, 9호선		37.562384	126.801292
까치산역	5호선		37.531768	126.846683
까치울역	7호선		37.506207	126.810939
낙성대역	2호선		37.47693	126.963693
남구로역	7호선		37.486056	126.887249
남부터미널역	3호선		37.485013	127.016189
남성역	7호선		37.484596	126.971251
남영역	1호선		37.541021	126.9713
남위례역	8호선		37.4624	127.13977
남태령역	4호선		37.463873	126.989134
남한산성입구역	8호선		37.451535	127.159816
내방역	7호선		37.487618	126.993513
노들역	9호선		37.512887	126.953222
노량진역	1호선, 9호선		37.514149	126.94271
노원역	4호선, 7호선		37.65627	127.063276
녹번역	3호선		37.600927	126.935756
녹사평역	6호선		37.534675	126.986695
녹양역	1호선		37.75938	127.042292
녹천역	1호선		37.644799	127.051269
논현역	7호선		37.511093	127.021415
다산역	8호선		37.62429	127.14973
단대오거리역	8호선		37.44521	127.156866
답십리역	5호선		37.566747	127.052704
당산역	2호선, 9호선		37.534946	126.902767
당정역	1호선		37.344285	126.948345
대곡역	3호선		37.631626	126.811024
대공원역	4호선		37.435675	127.006523
대림역	2호선, 7호선		37.493243	126.894932
대방역	1호선		37.513342	126.926382
대야미역	4호선		37.328467	126.917332
대청역	3호선		37.493514	127.079532
대치역	3호선		37.494612	127.063642
대화역	3호선		37.676087	126.747569
대흥역	6호선		37.547771	126.942069
덕계역	1호선		37.818486	127.056486
덕정역	1호선		37.843188	127.061277
도곡역	3호선		37.490922	127.055452
도림천역	2호선		37.514287	126.882768
도봉역	1호선		37.679563	127.045595
도봉산역	1호선, 7호선		37.689534	127.046049
도원역	1호선		37.468446	126.642706
도화역	1호선		37.46607	126.668672
독립문역	3호선		37.574571	126.957748
독바위역	6호선		37.618456	126.933031
독산역	1호선		37.466613	126.889249
돌곶이역	6호선		37.610537	127.056431
동구릉역	8호선		37.61105	127.13793
동대문역	1호선, 4호선		37.571687	127.01093
동대문역사문화공원역	2호선, 4호선, 5호선		37.565613	127.009054
동대입구역	3호선		37.559052	127.005602
동두천역	1호선		37.927878	127.05479
동두천중앙역	1호선		37.901885	127.056482
동묘앞역	1호선, 6호선		37.573197	127.01648
동암역	1호선		37.471408	126.702896
동인천역	1호선		37.475276	126.632802
동작역	4호선, 9호선		37.502852	126.980347
두정역	1호선		36.833705	127.14896
둔촌동역	5호선		37.527788	127.136248
둔촌오륜역	9호선		37.519683	127.137989
등촌역	9호선		37.550632	126.865689
디지털미디어시티역	6호선		37.576108	126.901391
뚝섬역	2호선		37.547184	127.047367
마곡역	5호선		37.560183	126.825448
마곡나루역	9호선		37.566778	126.82731
마두역	3호선		37.652206	126.77762
마들역	7호선		37.66494	127.057675
마장역	5호선		37.5661	127.042973
마천역	5호선		37.49499	127.152781
마포역	5호선		37.539574	126.945932
마포구청역	6호선		37.563515	126.903343
망원역	6호선		37.556094	126.910052
망월사역	1호선		37.709914	127.047455
매봉역	3호선		37.486947	127.046769
먹골역	7호선		37.610637	127.077725
면목역	7호선		37.588579	127.087503
명동역	4호선		37.560989	126.986325
명일역	5호선		37.55137	127.143999
명학역	1호선		37.384653	126.935433
모란역	8호선		37.433824	127.129837
목동역	5호선		37.526065	126.864931
몽촌토성역	8호선		37.517409	127.112359
무악재역	3호선		37.582299	126.950291
문래역	2호선		37.517933	126.89476
문정역	8호선		37.485855	127.1225
미사역	5호선		37.560927	127.193877
미아역	4호선		37.62667	127.025983
미아사거리역	4호선		37.613292	127.030053
반월역	4호선		37.312212	126.903524
반포역	7호선		37.508178	127.011727
발산역	5호선		37.558598	126.837668
방배역	2호선		37.481426	126.997596
방이역	5호선		37.508857	127.126133
방학역	1호선		37.667503	127.044273
방화역	5호선		37.577446	126.812741
배방역	1호선		36.777629	127.052991
백석역	3호선		37.643114	126.78787
백운역	1호선		37.483664	126.707704
버티고개역	6호선		37.548013	127.007055
범계역	4호선		37.389793	126.950806
별내역	8호선		37.64232	127.1276
별내별가람역	4호선		37.66778	127.11581
병점역	1호선		37.207503	127.032731
보라매역	7호선		37.499872	126.920428
보문역	6호선		37.585274	127.019351
보산역	1호선		37.913702	127.057277
복정역	8호선		37.471052	127.126732
봉명역	1호선		36.801215	127.135763
봉은사역	9호선		37.514219	127.060245
봉천역	2호선		37.482362	126.941892
봉화산역	6호선		37.617283	127.091401
부개역	1호선		37.488418	126.74109
부천역	1호선		37.48405	126.782686
부천시청역	7호선		37.504631	126.763538
부천종합운동장역	7호선		37.50538	126.797337
부평역	1호선		37.489445	126.724506
부평구청역	7호선		37.507394	126.721599
불광역	3호선, 6호선		37.610553	126.92982
불암산역	4호선		37.670272	127.079066
사가정역	7호선		37.580894	127.088478
사당역	2호선, 4호선		37.476538	126.981544
사평역	9호선		37.504206	127.015259
산곡역	7호선		37.5086	126.7035277
산본역	4호선		37.358101	126.933274
산성역	8호선		37.457122	127.149908
삼각지역	4호선, 6호선		37.534075	126.9726
삼산체육관역	7호선		37.506411	126.742153
삼성역	2호선		37.508844	127.06316
삼성중앙역	9호선		37.513011	127.053282
삼송역	3호선		37.653083	126.895558
삼전역	9호선		37.504738	127.088025
상계역	4호선		37.660878	127.073572
상도역	7호선		37.502834	126.94791
상동역	7호선		37.505781	126.753083
상록수역	4호선		37.302795	126.866489
상봉역	7호선		37.595577	127.085716
상수역	6호선		37.547716	126.922852
상왕십리역	2호선		37.564354	127.029354
상월곡역	6호선		37.606377	127.048491
상일동역	5호선		37.556712	127.166417
새절역	6호선		37.591148	126.913629
샛강역	9호선		37.517274	126.928422
서대문역	5호선		37.565773	126.966641
서동탄역	1호선		37.195504	127.051672
서울대입구역	2호선		37.481247	126.952739
서울역	1호선, 4호선		37.556228	126.972135
서정리역	1호선		37.056496	127.052819
서초역	2호선		37.491897	127.007917
석계역	1호선, 6호선		37.614532	127.065934
석남역	7호선		37.5062285	126.6762813
석수역	1호선		37.435047	126.902295
석촌역	8호선, 9호선		37.505557	127.106832
석촌고분역	9호선		37.502558	127.097033
선릉역	2호선		37.504286	127.048203
선바위역	4호선		37.451673	127.002303
선유도역	9호선		37.53802	126.893525
선정릉역	9호선		37.510297	127.043999
성균관대역	1호선		37.300349	126.97075
성수역	2호선		37.544581	127.055961
성신여대입구역	4호선		37.592612	127.016441
성환역	1호선		36.916076	127.126964
세류역	1호선		37.245025	127.013222
세마역	1호선		37.187533	127.04318
소사역	1호선		37.482753	126.79544
소요산역	1호선		37.9481	127.061034
송내역	1호선		37.4876	126.753664
송정역	5호선		37.561184	126.811973
송탄역	1호선		37.075696	127.054301
송파역	8호선		37.499703	127.112183
